# src	dest	pir	por	t_on	t_off	t_period
17	28	0.0800	0.0	600	1800	4000
18	35	0.0800	0.0	600	1800	4000
19	36	0.0800	0.0	600	1800	4000
20	27	0.0800	0.0	600	1800	4000
21	28	0.0800	0.0	600	1800	4000
22	35	0.0800	0.0	600	1800	4000
23	36	0.0800	0.0	600	1800	4000
24	27	0.0800	0.0	600	1800	4000
25	28	0.0800	0.0	600	1800	4000
26	35	0.0800	0.0	600	1800	4000
29	28	0.0800	0.0	600	1800	4000
30	35	0.0800	0.0	600	1800	4000
31	36	0.0800	0.0	600	1800	4000
32	27	0.0800	0.0	600	1800	4000
33	28	0.0800	0.0	600	1800	4000
34	35	0.0800	0.0	600	1800	4000
37	28	0.0800	0.0	600	1800	4000
38	35	0.0800	0.0	600	1800	4000
39	36	0.0800	0.0	600	1800	4000
40	27	0.0800	0.0	600	1800	4000
41	28	0.0800	0.0	600	1800	4000
42	35	0.0800	0.0	600	1800	4000
43	36	0.0800	0.0	600	1800	4000
44	27	0.0800	0.0	600	1800	4000
45	28	0.0800	0.0	600	1800	4000
46	35	0.0800	0.0	600	1800	4000
47	36	0.0800	0.0	600	1800	4000
48	27	0.0800	0.0	600	1800	4000
49	28	0.0800	0.0	600	1800	4000
50	35	0.0800	0.0	600	1800	4000
51	36	0.0800	0.0	600	1800	4000
52	27	0.0800	0.0	600	1800	4000
53	28	0.0800	0.0	600	1800	4000
54	35	0.0800	0.0	600	1800	4000
55	36	0.0800	0.0	600	1800	4000
56	27	0.0800	0.0	600	1800	4000
57	28	0.0800	0.0	600	1800	4000
58	35	0.0800	0.0	600	1800	4000
59	36	0.0800	0.0	600	1800	4000
60	27	0.0800	0.0	600	1800	4000
61	28	0.0800	0.0	600	1800	4000
62	35	0.0800	0.0	600	1800	4000
63	36	0.0800	0.0	600	1800	4000
27	0	0.2500	0.0	2000	3500	4000
28	0	0.2500	0.0	2000	3500	4000
35	0	0.2500	0.0	2000	3500	4000
36	0	0.2500	0.0	2000	3500	4000
1	2	0.0010	0.0	0	20000	4000
2	3	0.0010	0.0	0	20000	4000
3	4	0.0010	0.0	0	20000	4000
4	5	0.0010	0.0	0	20000	4000
5	6	0.0010	0.0	0	20000	4000
6	7	0.0010	0.0	0	20000	4000
7	8	0.0010	0.0	0	20000	4000
8	9	0.0010	0.0	0	20000	4000
9	10	0.0010	0.0	0	20000	4000
10	11	0.0010	0.0	0	20000	4000
11	12	0.0010	0.0	0	20000	4000
12	13	0.0010	0.0	0	20000	4000
13	14	0.0010	0.0	0	20000	4000
14	15	0.0010	0.0	0	20000	4000
15	16	0.0010	0.0	0	20000	4000
16	17	0.0010	0.0	0	20000	4000
17	18	0.0010	0.0	0	20000	4000
18	19	0.0010	0.0	0	20000	4000
19	20	0.0010	0.0	0	20000	4000
20	21	0.0010	0.0	0	20000	4000
21	22	0.0010	0.0	0	20000	4000
22	23	0.0010	0.0	0	20000	4000
23	24	0.0010	0.0	0	20000	4000
24	25	0.0010	0.0	0	20000	4000
25	26	0.0010	0.0	0	20000	4000
29	30	0.0010	0.0	0	20000	4000
30	31	0.0010	0.0	0	20000	4000
31	32	0.0010	0.0	0	20000	4000
32	33	0.0010	0.0	0	20000	4000
33	34	0.0010	0.0	0	20000	4000
37	38	0.0010	0.0	0	20000	4000
38	39	0.0010	0.0	0	20000	4000
39	40	0.0010	0.0	0	20000	4000
40	41	0.0010	0.0	0	20000	4000
41	42	0.0010	0.0	0	20000	4000
42	43	0.0010	0.0	0	20000	4000
43	44	0.0010	0.0	0	20000	4000
44	45	0.0010	0.0	0	20000	4000
45	46	0.0010	0.0	0	20000	4000
46	47	0.0010	0.0	0	20000	4000
47	48	0.0010	0.0	0	20000	4000
48	49	0.0010	0.0	0	20000	4000
49	50	0.0010	0.0	0	20000	4000
50	51	0.0010	0.0	0	20000	4000
51	52	0.0010	0.0	0	20000	4000
52	53	0.0010	0.0	0	20000	4000
53	54	0.0010	0.0	0	20000	4000
54	55	0.0010	0.0	0	20000	4000
55	56	0.0010	0.0	0	20000	4000
56	57	0.0010	0.0	0	20000	4000
57	58	0.0010	0.0	0	20000	4000
58	59	0.0010	0.0	0	20000	4000
59	60	0.0010	0.0	0	20000	4000
60	61	0.0010	0.0	0	20000	4000
61	62	0.0010	0.0	0	20000	4000
62	63	0.0010	0.0	0	20000	4000
