# src	dest	pir	por	t_on	t_off	t_duration
5	8	0.001	0.001	75000	100000	100001
6	50	0.001	0.001	75000	100000	100001
7	18	0.001	0.001	75000	100000	100001
8	63	0.001	0.001	75000	100000	100001
9	1	0.001	0.001	75000	100000	100001
10	54	0.001	0.001	75000	100000	100001
11	21	0.001	0.001	75000	100000	100001
12	30	0.001	0.001	75000	100000	100001
13	36	0.001	0.001	75000	100000	100001
14	47	0.001	0.001	75000	100000	100001
15	59	0.001	0.001	75000	100000	100001
16	42	0.001	0.001	75000	100000	100001
17	57	0.001	0.001	75000	100000	100001
18	31	0.001	0.001	75000	100000	100001
19	0	0.001	0.001	75000	100000	100001
20	45	0.001	0.001	75000	100000	100001
21	31	0.001	0.001	75000	100000	100001
22	55	0.001	0.001	75000	100000	100001
23	47	0.001	0.001	75000	100000	100001
24	43	0.001	0.001	75000	100000	100001
25	7	0.001	0.001	75000	100000	100001
26	49	0.001	0.001	75000	100000	100001
27	41	0.001	0.001	75000	100000	100001
28	2	0.001	0.001	75000	100000	100001
29	9	0.001	0.001	75000	100000	100001
30	28	0.001	0.001	75000	100000	100001
31	55	0.001	0.001	75000	100000	100001
32	34	0.001	0.001	75000	100000	100001
33	38	0.001	0.001	75000	100000	100001
34	0	0.001	0.001	75000	100000	100001
35	51	0.001	0.001	75000	100000	100001
36	37	0.15	0.15	75000	100000	100001
37	25	0.15	0.15	75000	100000	100001
38	54	0.15	0.15	75000	100000	100001
39	54	0.15	0.15	75000	100000	100001
40	29	0.001	0.001	75000	100000	100001
41	20	0.001	0.001	75000	100000	100001
42	39	0.001	0.001	75000	100000	100001
43	15	0.001	0.001	75000	100000	100001
44	13	0.15	0.15	75000	100000	100001
45	18	0.15	0.15	75000	100000	100001
46	57	0.15	0.15	75000	100000	100001
47	38	0.15	0.15	75000	100000	100001
48	2	0.001	0.001	75000	100000	100001
49	57	0.001	0.001	75000	100000	100001
50	28	0.001	0.001	75000	100000	100001
51	36	0.001	0.001	75000	100000	100001
52	54	0.15	0.15	75000	100000	100001
53	26	0.15	0.15	75000	100000	100001
54	43	0.15	0.15	75000	100000	100001
55	30	0.15	0.15	75000	100000	100001
56	58	0.001	0.001	75000	100000	100001
57	12	0.001	0.001	75000	100000	100001
58	6	0.001	0.001	75000	100000	100001
59	36	0.001	0.001	75000	100000	100001
60	52	0.15	0.15	75000	100000	100001
61	56	0.15	0.15	75000	100000	100001
62	44	0.15	0.15	75000	100000	100001
63	34	0.15	0.15	75000	100000	100001
